carabela	buque
cerivastatina	compuesto
gasa	tela
daiquiri	alcohol
backgammon	juego de mesa
sociolingüística	medicina familiar
vaquilla	cría
tigrillo	carnívoro
winston churchill	director ejecutivo
mistral	viento
alternador	dínamo
coleóptero	invertebrado
sol de mayo	aglomeración urbana
té	aromatizante
ku klux klan	sociedad secreta
yeso	logia
linfangitis	signo clínico
santo	persona
los andes	área urbana
crema	fármaco
pelo de camello	tela
quinua	hortaliza
vicepresidente	líder
escarpe	risco
francis hopkinson	experto legal
capitalismo	economía
enna	río
vehículo blindado	transporte
chablis	líquido
kruschev	oficial de cubierta
jade	compuesto químico
trampa	truco
canoa	transporte
abarth	compañía
mozart	lenguaje informático
benjamin disraeli	primer ministro
valija	equipaje
vivienda	edificación
ocre	amarillo
judas iscariote	seguidor
pena de muerte	sentencia judicial
templario	caballero
gabán	prenda exterior
cachorro	imberbe
anticuerpo	proteína
bray	colegio
basilisco	criatura mítica
chubasco	tiempo atmosférico
esclusa	accidente geográfico
fotón	partícula elemental
traqueotomía	procedimiento médico
ellington	instrumentalista
trinitaria	escandente
té	planta
batalla campal	disputa
daniel webster	político
arroz	producto alimenticio
mary poppins	filme
largometraje	espectáculo
facsímil	representación
macbeth	agrupación musical
tráfico	mercadeo
sango	lengua
biosíntesis	síntesis
polígono	figura plana
brisa	tiempo
proteólisis	cambio químico
zampoña	máquina
winston churchill	librería
luis xiv	mandatario
cajún	grupo étnico
mantequilla de maní	mezcla
ácido acético	ácido carboxílico
guardameta	deportista
glucosa	hidrato de carbono
winston churchill	dueña
calle sin salida	camino
naira	moneda
cardamomo	tracheobionta
axochiapan	área metropolitana
homicidio	comportamiento antisocial
samba	baile
alucinógeno	psicotrópico
tráiler	medio de transporte
maracay	ciudad
pelota	partidario
coronel	servicio militar
strindberg	escritor
castillo	edificación
linterna	fuente de luz
úlcera duodenal	diagnóstico médico
yelmo	indumentaria
luis de góngora	autor
casero	amo
lechuga	hierba
matemáticas	asignatura
contusión	hematoma
chubasco	condición atmosférica
falda	prenda
grunge	género musical
cenote	formación geológica
cortijo	hábitat
lázaro salazar	beisbolista
llovizna	compuesto químico
henry kissinger	persona
deflagración	reacción química
amplificador	programa informático
mazorca	núcleo
halle	entidad territorial
garfield	dibujo humorístico
golfo de méxico	mar
dique	barrera
los beatles	álbum de estudio
amatista	colorante
gettysburg	pueblo
cantautor	letrista
trisquel	ilustración
rancho	granja
cáñamo	psicotrópico
cuartel	base de operaciones
trampa	fraude
seminario	encuentro
levadura química	agente gasificante
mezquita	planta
el rey lear	obra de teatro
linfangitis	afección
cinturón	faja
mantequilla de maní	condimento
brisa	densidad
dólar	pieza
gabán	ropa
banco comercial	sucursal
game of thrones	serie de televisión
fragata	barco
lazo	hilado
chaparrón	agua
sánscrito	lenguas indoeuropeas
canto rodado	piedra
farol	riesgo
pontífice	cura
seminario	academia
galatasaray	área urbana
apóstrofo	símbolo escrito
crema	cura
isla esmeralda	suburbio
lauren bacall	actor dramático
terremoto	catástrofe
pretor	jurista
pera	vello facial
cuervo	vertebrado
cortijo	comunidad
caja fuerte	arca
praga	aglomeración urbana
camisa	ropa
satélite	máquina
neocolonialismo	explotación
gárgola	criatura mitológica
paraná	metrópolis
manopla	arma blanca
virus informático	programa de computación
cuenta de ahorro	documento comercial
alforja	bolsa
cóctel	pachanga
elizabeth taylor	actor dramático
forja	elaboración
república federal	federación
rumor	álbum de estudio
shostakovich	instrumentista
alambique	retorta
pena	desgracia
tewkesbury	parroquia civil
taxodium	hoja
zweig	escritor
polígono	función matemática
microondas	variable
los andes	estación de ferrocarril
montaña	escena
vagón de pasajeros	material rodante
carl lewis	atleta
shivani	escritor
guardarraíl	barrera
texas	entidad territorial
paraná	curso de agua
barco negrero	buque mercante
bolivia	república
aceite	lípido
soroche	mal
chaparrón	borrasca
casero	persona
juana grey	aristócrata
bray	zona metropolitana
palestra	espacio
carl lewis	corredor
epigrafía	arqueología
monte rainier	cima
callejón	vía de comunicación
chelín	metálico
bromeliaceae	spermatophyta
tafetán	paño
contusión	dolencia
muralla	terraplén
trampa	mentira
ácido acético	grupo carboxilo
superordenador	procesador
desierto	extensión
dramaturgo	autor
guardameta	concursante
josé simeón cañas	doctor
ingeniero	operadora
lahar	desprendimiento
teodosio i	gobernante
cerúleo	azul verde
texas	aglomeración urbana
batman	personaje
pena de muerte	asesinato
myrdal	líder
hank williams	escritor
shakira	productor discográfico
pera	árbol
yeso	árido
leonor de aquitania	aristócrata
amígdala	ganglio
habsburg	centro urbano
shona	bantú
coco	monstruo
francis hopkinson	vocero
hamás	movimiento político
cádiz	área urbana
stanford	urbe
adam smith	asignatura
curling	deporte
bray	aglomeración urbana
endocarditis	afección
gabán	indumentaria
coco	fruto
rastrillo	herramienta agrícola
pavimento	vía expresa
valla	escollo
seguro sanitario	gestión de riesgo
gacha	planta
vehículo	medio
bray	instrumentista
enna	ciudad
eca	compuesto
linterna	luz
chaparrón	agua de lluvia
tobias smollett	persona
juana grey	gobernante
plata	metal precioso
panadero	máquina
radioisótopo	compuesto químico
crédito fiscal	merma
azafato	camarero
soga	cordel
almizcle	olor
amatista	piedra preciosa
flapper	chica
nuez moscada	fruta
lago eyre	corriente
brandy	persona
leonor de aquitania	líder
pasífae	planemo
pyongyang	entidad territorial
kublai kan	rey
topacio	castaño
blusa	prenda
strindberg	persona
campesino	chaval
1945	año
icosaedro	convexidad
monte rainier	estratovolcán
polvo blanco	opiato
lázaro salazar	jardinero
farol	desfiguración
josé simeón cañas	persona
praga	zona metropolitana
radioisótopo	compuesto
alicia silverstone	escritora
james madison	cura
arturo toscanini	instrumentalista
úlcera duodenal	signo
molinete	obstáculo
modista	sastre
erinias	criatura mitológica
babilonia	ciudad-estado
nuez moscada	spermatophyta
cardamomo	condimento
vino	líquido
monte rainier	ápice
tokio	hábitat
pelota	falso
segmentación	división celular
peñasco	facies
cancha de fútbol	patio
acadio	lengua natural
cencerro	instrumento musical
hemorragia	percance
unión soviética	república federal
apátrida	persona
enjundia	contenido mental
coronel	militar
abrigo	indumentaria
donna summer	compositora
karaoke	software
chelín	unidad monetaria
metotrexato	fármaco
brandy	canal de comunicación
barco negrero	buque de carga
taxodium	aguja
vals	baile de salón
stanford	aldehuela
profesor	instructor
estabilizador	configuración
vehículo	medio de transporte
teatro	edificación
obstetricia	biociencia
myrdal	político
nevasca	fenómeno
stenocarpus	árbol
ku klux klan	asociación
coronel	ejército
superordenador	computadora central
guardameta	atleta
gabriel garcía márquez	autor
perjurio	injusticia
winston churchill	oficial
ají	capsicum annuum
hilo	lazo
icosaedro	politopo
polvorín	edificio
trampa	acceso
garfield	urbe
oreja	parte corporal
docente	educadora
energía solar	variable
embarcación	transporte naval
ovejero	peón
sociolingüística	sociología
azafato	trabajador
instituto	usanza
comba	marca
piedra rojiza	estructura arquitectónica
masa de pan	pasta
fusión	transformación
psicometría	pseudociencia
farol	decepción
ponente	persona
hoya	planta
transporte ferroviario	transporte de pasajeros
cumbre	suburbio
bray	institución educacional
spirit airlines	persona jurídica
bill tilden	competidor
coleóptero	artrópodo
demanda	pedido
estrecho	rada
paraguay	enclave
atraco	latrocinio
balonmanista	contendiente
inocencio iv	curato
cielo	amante
camiseta	vestimenta
robo	pillaje
reembolso	traspaso
cruasán	brötchen
carlos de valois	persona
cuento	embuste
comba	soga
isla esmeralda	escena
acetato de etilo	compuesto
franklin delano roosevelt	líder
pena	tristeza
horace mann	botánico
radioactividad	emisión
adam smith	ética
cañón	cañada
vinagre	aromatizante
torre de pisa	estructura arquitectónica
hezbolá	movimiento político
ingeniero	operario
land rover	industria automovilística
cañón	paso
tienda de campaña	abrigo
los andes	estación de tren
adam smith	economista
sal	condimento
flamen	capellán
cúmulo	nube
jardín infantil	institución educacional
acadio	nostrático
ácido	gusto
catedral	templo
piedra rojiza	edificio
mikhail gorbachev	político
brisa	tiempo atmosférico
buque de guerra	unidad militar
banderola	bandera
william ewart gladstone	dueña
kiwi	producto agrícola
glucosa	carbohidrato
pasífae	planeta
aguacero	agua de lluvia
pentosa	monosacárido
guardameta	rol
circón	silicato
secuenciador	equipo de computación
fibrilación	calambre
lagoa	municipio
bray	metrópolis
banco comercial	firma
garfield	tira de prensa
kublai khan	gobernador
lengüeta	aleteo
coco	tracheobionta
sucursal	institución financiera
muelle	tribuna
erinias	personaje
stanley kubrick	escritor de cine
ferry	nave
sol de mayo	zona metropolitana
knish	mezcla
dortmund	aglomeración urbana
bernard hinault	ciclista
kublai kan	monarca
inversión	finanzas
myspace	comunidad virtual
beatriz de suabia	dirigente
sánscrito	lengua natural
júpiter	soberano
korean air	persona jurídica
grafito	combustible fósil
tubo de escape	conducto
vehículo	movimiento
microondas	energía
sociolingüística	método
demanda	trámite
catedral	edificio
dólar	dinero
chaleco antibalas	armadura
macbeth	banda de rock
spirit airlines	compañía de transportes
doncella	señorita
mortero	rifle
perro	carnívoro
cimetidina	ligando
james madison	jefe de gobierno
tamarao	ungulata
plata	metal noble
tubo de escape	conducto de agua
hidrocarburo aromático	hidrocarburo
camiseta	prenda de vestir
chaparrón	precipitación atmosférica
roberto urdaneta	dirigente
callejón	infraestructura urbana
rotación	función
sombrero	ropa
alternador	dinamo
náusea	afección
arlequín	payaso
adam smith	sabio
pedrisco	tormenta
batalla campal	perturbación
torbellino	fenómeno
cáncer	tumor
rancho	explotación agrícola
benjamin disraeli	persona
elizabeth taylor	escritora
coco	bacteria
paraná	zona metropolitana
acadio	lenguaje
sarawak	estado federado
ágata	piedra
ceniza volcánica	tefra
jardín	solar
carta astral	cuadro
presión atmosférica	propiedad física
abarth	planta
adam smith	filosofía
caldera	electrodoméstico
unión soviética	coalicion
compensación	rectificación
perjurio	delito
batman	videojuego
culebra de collar	serpiente
zueco	galocha
charcutería	tienda
plethodontidae	caudata
franklin delano roosevelt	propietario
cutis	estrato
ácido	compuesto químico
pepinillo	legumbre
amatista	piedra
geometría diferencial	geometría
ábside	carcasa
pera	barba
lüleburgaz	entidad territorial
cañón	caño
atraco	substracción
pena de muerte	pena
parlamento	comunicación auditiva
úlcera duodenal	fundamento
félix calleja	persona
punto de rocío	magnitud física
cricket	juego deportivo
kublai khan	gobernante
puente	circuito eléctrico
dolina	malpaís
rumor	murmuración
aleksandr pushkin	poeta
inocencio iv	jefe
billar	contienda
arenque	comida marina
pocilga	cortijo
ruido blanco	señal
aneurisma cerebral	cardiopatía
oclusión	crisis
largometraje	cine
deflagración	proceso químico
ponce de león	municipio
mikhail gorbachev	jefe
báscula	instrumento de medición
palestra	extensión
traje	prenda
tenis de mesa	juego deportivo
ion iliescu	dirigente
habsburg	aglomeración urbana
estabilizador	generalización
blusa	vestuario
cimetidina	antagonista
partido liberal demócrata	partido
oreja	músculo
guijarro	clástica
cantón	municipio
cuento	prosa
cifosis	espalda
pavimento	baño
azúcar	aditivo alimentario
hockey	deporte de equipo
crema	remedio
úlcera duodenal	membrana mucosa
winston churchill	responsable
mary poppins	álbum de estudio
taxodium	hoja acicular
vinagreta	aderezo
escarpadura	accidente geográfico
mtv	canal de tv
farol	pretensión
stanford	gobernador
vino	substancia
escarpadura	precipicio
piano	instrumento de teclado
folclore	función
protocolo	documentación
automovilismo	carrera
nuez moscada	angiosperma
tabernero	trabajador
ágata	compuesto
uganda	república
ellington	patronal
risco	peña
galatasaray	escena
chelín	plata
hemorragia	herida
ellington	productor
heráclito	sabio
cantón	cuartel militar
topacio	sintagma
camino	desplazamiento
bolivia	entidad territorial
tokio	metrópoli
ellington	conversión de unidades
corbata de bolo	prenda
protector de pantalla	programa de ordenador
rotor	máquina eléctrica
curling	deporte de equipo
hezbolá	partido político
toki	juego electrónico
isla esmeralda	vecindad
ábside	armazón
benjamin disraeli	presidente de gobierno
karaoke	programa de ordenador
citación	orden judicial
aduana	tarifa
vagón de cola	vehículo
tajo	masa de agua
cul-de-sac	carretera
media aritmética	dato
lauren bacall	persona
tokio	municipio
sátrapa	persona
mantis religiosa	animal
azafato	persona
rey	gobernador
isaac asimov	lector
winston churchill	ministra
bromista	camorrista
jet	compuesto
alcohol	bebida
heródoto	intelectual
desierto	espacio
sismómetro	instrumento de medida
nochebuena	feriado público
río elba	cuerpo de agua
caraota	planta
sánscrito	lenguaje
mercadillo	extensión
tangancícuaro	municipio
diadema	banda
stinger	aplicación informática
mojón	comunicación visual
tobias smollett	autor
escarpe	accidente geográfico
cava	bebida alcohólica
bardos	urbe
galatasaray	población urbana
coco	planta
cuento	obra literaria
taxodium	conífera
demanda	diligencia
barco de carga	buque mercante
adam smith	deportista
polvorín	almacén
fantoche	representación
mezquita	arbusto
ku klux klan	logia
cerivastatina	droga
tres en raya	juego de tablero
sam shepard	director cinematográfico
carro	máquina
jet	droga
lanza	arma de asta
william ewart gladstone	propietario
lona	caseta de feria
piel de nutria	cuero
llovizna	fluido
agua de coco	leche
varilla	instrumento de medición
linchamiento	sentencia
bray	compositora
parador	hotel
william ewart gladstone	ejecutivo
vehículo blindado	máquina
yelmo	armadura
naranjo	angiosperma
placa	chapa
alicante	capital
tigrillo	vertebrado
coruscant	cuerpo celeste
seleccionador	jefe
lope de vega	persona
semáforo	equipo
electroimán	máquina
cardamomo	spermatophyta
lacayo	servidor
teatro apollo	variedades
mikhail gorbachev	mandatario
coche	carro
zueco	chala
ojal	hueco
jardín de flores	parcela
farol	apuesta
olla	embalaje
ferdinand de saussure	intelectual
fotón	partícula
chubasco	compuesto
buque	medio de transporte
mary poppins	película
enna	centro urbano
xenofobia	rechazo
hipoclorito de sodio	lejía
paso a nivel	infraestructura urbana
béisbol	contienda
xantina	sal
centésimo	quebrado
nazismo	sistema económico
libra esterlina	moneda
shakira	obra musical
dotación	donación
albizia	árbol
tewkesbury	pueblo
sake	planta
leonor de aquitania	mandatario
axila	parte del cuerpo
medio de transporte	servicio público
grevillea	árbol
blusa	indumentaria
james madison	político
río hudson	corriente
judas iscariote	persona
billar	competencia
unión soviética	estado federado
náusea	dolencia
floresta	microambiente
nieve	h2o
lázaro salazar	adversario
linchamiento	condena
galatasaray	centro urbano
nieve	agua
benjamin disraeli	jefe
tienda	agente comercial
acta notarial	testimonio
yeso	roca
buque	transporte naval
ellington	villa
tormenta	agua
fotón	partícula subatómica
vinagre	óxido
paseo	carretera
manivela	herramienta manual
kublai kan	oración
arn	ácido
toma de tierra	conector
acero	disolución
tregua	intervalo
café	semilla
endrina	planta vascular
circulante	recurso
floresta	biocenosis
william ewart gladstone	político
bray	población urbana
ginebra	trago
ellington	músico
glucosa	aldosa
brandy	rhythm and blues
pontífice	sacerdote
benjamin disraeli	ministro
superordenador	ordenador
tajo	río
samba	baile social
cebú	área urbana
cul-de-sac	infraestructura urbana
enrique peña nieto	propietario
bolivia	organización política
bandera	dibujo
calle sin salida	acervo
barco de carga	barco
molinete	reja de protección
ácido	substancia
plata	vajilla
alcohol	substancia
stanley kubrick	productor
lamiaceae	angiosperma
molinillo	juguete
trinitaria	tracheobionta
winston churchill	erudito
usura	interés
cooperativa	asociación
sánscrito	ordenación
linchamiento	castigo capital
cartera	equipamiento
los beatles	álbum
culebra de collar	colubridae
calle sin salida	carretera
vals	evento social
benjamin disraeli	cabeza
adam smith	medicina familiar
dortmund	entidad territorial
estación de autobús	estructura arquitectónica
piano	teclado
biosíntesis	proceso químico
cuento	trola
adam smith	investigación médica
mezquita	planta perenne
astronáutica	física
estruendo	sonido
trinitaria	trepadora
teherán	centro urbano
molibdeno	elemento químico
pasarela	puente
soga	cordón
perro	animal doméstico
henry kissinger	diplomático
winston churchill	guerrero
acondroplasia	enfermedad genética
aduana	organismo autónomo
cerivastatina	medicina
embrión	microorganismo
matemáticas	investigación
rtve	persona jurídica
selene	villano
tormenta	precipitación atmosférica
sucursal	estructura social
meseta	formación geológica
bray	letrista
linfangitis	síntoma
trampa	ingreso
barco pesquero	vehículo
ágora	mercado
vehículo	canal
rotación	movimiento
webcam	máquina
desierto de atacama	superficie
escarpe	cuesta
aguacero	agua pluvial
buque de guerra	movimiento
fragata	bajel
vinagre	compuesto químico
habanera	obra musical
canto rodado	mineral
polaris	álbum
asentamiento	entidad territorial
tontina	contrato de seguro
liberalismo	perspectiva
paraje	detención
camisa	prenda
aguacero	descenso
maleta	equipaje
arturo alessandri	autoridad
bardos	municipio
mortero	pieza de artillería
carta astral	representación
sucursal	almacén
pera	parte del cuerpo
parlamento	cuerpo legislativo
rancho	edificio
maracay	metrópolis
torniquete	vendaje
tigrillo	felidae
lluvia	precipitación atmosférica
farol	instancia
zeeman	cráter de impacto
kublai kan	soberano
omar khayyam	erudito
marfil	tono
foulard	prenda
helado	plato
semiconductor	conductor
lacayo	asistente
hipoclorito de sodio	hipoclorito
intranet	sistema de comunicación
roberto urdaneta	jefe de estado
james madison	soldado
cáñamo	arbusto
catalepsia	patología
sombrero	indumentaria
cardiopatía	morbilidad
ají	fruto
coco	eubacteria
asentamiento	zona metropolitana
lago eyre	masa de agua
james madison	jefe de estado
endocarditis	inflamación
vial	vía pública
omar khayyam	filósofo
tamarao	mamífero
hockey	deporte
cardamomo	planta vascular
villa	gobierno
ábside	encierro
farol	maldad
linchamiento	castigo físico
cantinero	persona
bray	cantante
grafito	petróleo
acta notarial	obligación
plexiglás	resina acrílica
cuscús	plato
cinturón	topetazo
bolsillo	receptáculo
protocolo	sistema métrico
pontífice	sacerdote católico
espada	arma blanca
deficiencia mental	discapacidad
barco negrero	barco de carga
bagatela	chorradas
senador	líder
batman	producción
pasífae	deidad
espectroscopia	química analítica
bruno walter	director
antiniebla	máquina
unión soviética	gobierno federal
cyberpunk	ingeniero
arn	polímero
psicometría	adivino
himno	música sacra
óscar arias sánchez	líder
béisbol	deporte de pelota
pasarela	plataforma
lahar	voto mayoritario
úlcera duodenal	morbilidad
paraguay	estado federado
aneurisma cerebral	aneurisma
sociolingüística	investigación
axila	órgano
monte rainier	elevación
parlamento	comunicación oral
grafito	fibra textil
montaña	accidente geográfico
doncella	asistente
vagón de cola	vagón
dadaísmo	movimiento
dique	infraestructura urbana
campesino	garzón
coloquio	debate
banco comercial	institución financiera
polvorín	instalación
tokio	vecindad
espada	arma
caja registradora	arca
pulgar	parte corporal
kublai kan	propietario
caraota	verdura
bromo	halógeno
monte vesubio	volcán
profesor	lecturer
ray bradbury	persona
timonel	tripulante
euskaltel-euskadi	escuadrón
hospital	centro de salud
escudo	armadura
medias	calzas
mdna	obra musical
lona	tienda de campaña
ion iliescu	político
heráclito	docto
acetato de etilo	compuesto químico
eurotúnel	corredor
falda	indumento
citación	extracto
carreteo	transporte de pasajeros
fusión	combinación
winston churchill	líder
lazo	maroma
nochebuena	día solar
carabela	barco de vela
monica seles	atleta
william ewart gladstone	jefe de gobierno
fc barcelona	equipo de fútbol
vendedor	trabajador
lingüística	know-how
bruma	aerosol
hipertensión arterial	mal
puente	circuito
winston churchill	historiador
villa	suburbio
toalla	paño
fragata	nave
gabán	prenda
coleóptero	animal
stenocarpus	planta
sakura	planta vascular
sangre	árbol genealógico
arroz	pepita
cóctel	carrete
tiza	caliza
sello postal	sello
aguacero	h2o
ellington	ayuntamiento
acondroplasia	dolencia
hancock	producción
cigüeñuela	sistema formal
pulgar	dedo
linchamiento	homicidio
tabernero	camarero
morfeo	deidad
arena	vecindad
basilisco	vertebrado
corbata de bolo	ropa
bancarrota	trámite legal
mozart	músico
golfo de méxico	ambiente marino
elizabeth taylor	autora
horace mann	persona
azafato	asistente
aposento	suburbio
catálogo	producción
rondó	música culta
cruasán	producto alimenticio
sociedad limitada	compañía
nimbo	fenómeno
madera de pino	tracheobionta
nieve	clima
encuentro	cura
perro	cánido
chablis	bebida
punto de rocío	magnitud
campesino	obrera
cerveza	fluido
silla	mobiliario
diarrea	señal
bromista	cómico
histerectomía	procedimiento médico
chartreuse	verde
patrullero	protector
winston churchill	político
villa	vecindad
winston churchill	cabeza
temporal	hueso
ocarina	instrumento de viento
brisa	aire
martine aubry	persona
dique	roca
camisa	top
ión	partícula subatómica
lacayo	empleado
nochebuena	día
calle sin salida	vía expresa
polígono	función continua
nuez moscada	condimento
ion iliescu	mandatario
fc barcelona	clube
pradera	hábitat
lahar	deslizamiento de tierras
albergue	edificio
yeso	colegio
crédito fiscal	minoración
adam smith	profesionista
lázaro salazar	contendiente
fusión	proceso físico
endocarditis	mal
glucosa	glúcido
arena	parcela
shona	lenguaje
semáforo	señalización
ellington	metrópolis
leonor de aquitania	jefe
virus informático	programa informático
cyberpunk	radical
pelota	fariseo
lagoa	aglomeración urbana
chubasco	agua de lluvia
dortmund	metrópoli
cuartel	base
arabia saudita	autocracia
amatista	facies
sacerdote	curato
los beatles	álbum recopilatorio
olivo	angiosperma
manopla	ropa
yelmo	blindaje
bolivia	estado federado
donna summer	escritora
tubo de escape	canal
robo	saqueo
microondas	radiación
hemorragia	infortunio
inocencio iv	capellán
farol	impostura
energía solar	especificación
atraco	crimen grave
galatasaray	comunidad
asentamiento	corporación
ansiedad	estado mental
antiniebla	candil
vaquilla	animal
ocre	amarillo anaranjado
polígono	variedad topológica
barco pesquero	medio de transporte
parlamento	asamblea
histerectomía	exéresis
paseo	movimiento
polvorín	recipiente
asentamiento	área urbana
oliver hazard perry	militar
bolsillo	bolsa
cava	vino
rumor	cotilleo
neurofisiología	asignatura
cinturón	ropa
brahmaputra	curso de agua
playa	accidente geográfico
asentamiento	municipio
cría de animales	agricultura
neófito	estudiante
puerto rico	estado federado
villa	hábitat
stanley kubrick	director de fotografía
jack el destripador	bandolerismo
letrista	compositor
seleccionador	persona
calisto	planemo
vino	bebida alcohólica
pradera	superficie
sefardí	lengua natural
chubasco	h2o
kublai kan	expresión
batman	cine serial
demodulación	recepción
los andes	municipio
veredicto	imputación
villa	caserío
yeso	cofradía
nieve	condición atmosférica
forja	galpón
soldador	trabajador
largometraje	filme
estruendo	disturbio
alveolitis	afección
buque de guerra	máquina
habsburg	comunidad
cal	compuesto químico
república federal	forma de gobierno
schiaparelli	cráter
río hudson	extensión de agua
teherán	metrópoli
semiconductor	máquina
roberto urdaneta	mandatario
úlcera duodenal	lesión
ají	solanácea
alicante	metrópolis
cigüeñuela	ave
insignia	emblema
aristocracia	clase alta
lingüística	know how
paraná	pueblo
anticongelante	líquido
catedral	iglesia
polvo blanco	compuesto químico
apátrida	exiliada
stanford	político
nieve	compuesto químico
enna	pueblo
lingüística	investigación
babilonia	ciudad
blusa	corpiño
winston churchill	persona
leonor de aquitania	monarca
cañón	tubo
hortensia	arbusto
salario	abono
corbata de bolo	complemento
muralla	edificio
perro	animal domesticado
pelota	glándula endocrina
perjurio	infracción
lázaro salazar	concursante
pancarta	imagen
campesino	obrero
caraota	angiosperma
bolivia	población urbana
1945	tiempo
fútbol club barcelona	equipo
panadero	especialista
chaleco antibalas	vestimenta
playa	vecindad
júpiter	planeta
campesino	operario
rotación	motilidad
jet	compuesto químico
adam smith	contenido mental
zapapico	herramienta de mano
zampoña	instrumento de viento-madera
batman	superhéroe
diodo	componente electrónico
los andes	área metropolitana
centeno	alcohol
cachorro	animal domesticado
perjurio	maldad
basura	gentuza
cutis	órgano
patrón	marinero
zueco	zapato
heráclito	filósofo
levadura química	substancia
lamiaceae	planta
hank williams	poeta
villa	country house
lucio cornelio sila	persona
mar negro	ambiente marino
ingreso	desembolso
omar khayyam	astrónomo
cal	óxido
trinquete	herramienta de mano
sake	lenguaje
golfo de méxico	cuenca
apnea	deporte
sismómetro	instrumento de medición
lope de vega	poeta
cimetidina	fármaco
cabecera	texto
doncella	joven
nimbo	iluminación
muralla	defensa
naranjo	árbol frutal
albergue	edificación
inocencio iv	sacerdote católico
gacha	spermatophyta
kublai khan	jefe de estado
jailbreak	álbum
aneurisma cerebral	enfermedad cardiovascular
cruce	camino
cobre	elemento metálico
garfield	estación ferroviaria
el rey lear	composición dramática
perro	animal
centeno	aguardiente
farol	exigencia
fotón	radiación electromagnética
paraná	metrópoli
disolución	finalización
knish	plato
tontina	gestión de riesgo
gárgola	grotesco
amatista	esmalte
ión	átomo
sílex	compuesto químico
polvo blanco	alcaloide
erlang	lenguaje informático
eca	proteína
cuartel	base militar
papel secante	instrumento de escritura
pelota	mentiroso
cuentakilómetros	instrumento de medición
himno	voz
cereal	hierba
proteólisis	proceso químico
francesc homs	político
el rey lear	obra teatral
folclore	rutina
rey	mandatario
béisbol	concurso
tajo	arroyo
ellington	director
liberalismo	método
finca	edificación
zampoña	aerófono
biarritz	población urbana
yeso	mezcla
sucursal	tienda
doncella	persona
zanja	depresión natural
bromista	gamberro
josep tarradellas	persona
winston churchill	autora
júpiter	cuerpo celeste
nuez moscada	aromatizante
ponce de león	centro urbano
cuarentena	separación
maracay	aglomeración urbana
enna	área urbana
desierto	microhábitat
grevillea	angiosperma
nochebuena	fecha
inducción	razonamiento deductivo
fútbol club cartagena	club de fútbol
nieve	capa
gnosticismo	doctrina
placa	monumento conmemorativo
canícula	condición atmosférica
carlos de valois	jefe de estado
calle sin salida	infraestructura
media aritmética	matemática aplicada
lanza	arma
sam shepard	producción audiovisual
lüleburgaz	batalla
chelín	acuñación
placa	complemento
esclusa	extensión de agua
myspace	website
jaime alguersuari	persona
sakura	planta leñosa
paul simon	álbum de estudio
coco	planta perenne
escarpadura	pendiente
alveolitis	dolencia
alambique	material de vidrio
centeno	whiskey
friso	elemento arquitectónico
radioisótopo	átomo
cyberpunk	terrorismo
fibrilación	músculo
foulard	indumentaria
casco	ropa
valla	obstáculo
yeso	instituto
diadema	sombrero
mirlo	pájaro
gogol	dramaturgo
yeso	cataplasma
fantoche	simulación
villanueva de gumiel	ciudad
pene	parte del cuerpo
cabra	animal
acetato de etilo	éster
neblina	fenómeno
catalepsia	afección
coco	árbol
sello postal	marca
dictadura	autarquía
plexiglás	resina sintética
stanford	vecindad
estudiante	persona
teodosio i	persona
cóctel	celebración
vial	vía de comunicación
stanford	aldea
pasarela	camino
william ewart gladstone	administradora
flamen	ministro
pera	pomo
fibrilación	espasmo
leonor de aquitania	dirigente
ellington	autoridad
instituto	liga
hancock	pueblo
vivienda	estructura arquitectónica
cobre	metálico
pradera	parcela
cobre	colorante
alioli	aromatizante
macbeth	filme
nimbo	cristal
ácido acético	compuesto químico
cal	software
vagón de pasajeros	vehículo ferroviario
facsímil	imitación
macbeth	obra teatral
confederación	unión
brandy	función
cinturón	golpe
apóstrofo	diacrítico
fabulista	autora
fútbol club barcelona	liga
vicepresidente	persona jurídica
veredicto	sentencia
pan de maíz	producto alimenticio
nuez moscada	tracheobionta
hipertensión arterial	patología
seguro sanitario	seguridad
gacha	pepita
mozart	pianista
chubasco	precipitación
puffinus	ave
banco comercial	compañía
mar negro	extensión de agua
abadía	estructura arquitectónica
zaldívar	entidad territorial
asentamiento	vecindad
stinger	juego de video
valla	alambrada
endrina	angiosperma
embrión	animal
cumbre	elaboración
the offspring	agrupación musical
sátira	género literario
stanford	ciudad
friki	intelectual
sello postal	billete
energía	magnitud física
naranjito	metrópoli
basilisco	animal mítico
pavimento	labor manual
quiasmo	figura retórica
esclusa	masa de agua
fusión	convergencia
cebú	isla
farol	trola
júpiter	persona
pavimento	animal de trabajo
grunge	música rock
stanford	hábitat
buque de guerra	buque
winston churchill	ejército
hedor	olor
torbellino	borrasca
toki	programa informático
los andes	estación ferroviaria
veredicto	debido proceso
pierre-joseph proudhon	filósofo
adam smith	dueño
musical	espectáculo
batman	serie
chubasco	clima
madera de pino	planta perenne
área cultural	escena
callejón	zona
vicepresidente	director ejecutivo
molienda	prensa
lanza	extremidad
carro	coche de caballos
bray	municipio
mezquita	templo
ágata	óxido metálico
nieve	tiempo atmosférico
cruz de malta	símbolo nacional
james madison	párroco
pepinillo	producto agrícola
enna	cuerpo de agua
telencéfalo	parte del cuerpo
sam shepard	director de cine
adam smith	cálculo tensorial
reforestación	conversión
