utile	profitto
michele da cesena	persona religiosa
scarpa da ginnastica	calzatura
marisa	nome di battesimo
lista	modello matematico
noam chomsky	filosofo
faccia	aspetto
hans arp	poeta
demenza	sciocchezza
discontinuità	intervallo
vasto	metropoli
pompiere	buono
diadema	corpo celeste
orso	carnivoro
battaglione	compagnia
arco	segnale
muro	ostruzione
boz scaggs	compositore
capacità termica	parametro
polvere	novelletta
samurai	soldato
renata tebaldi	cantatore
velocista	ciclista
fantino	cavallerizzo
motorino	mezzo di trasporto
società	consociazione
cyberspazio	rete
sapore	tono
capitano	navigante
damigella	pulzella
forum	sito web
campione	cestista
muso	versaccio
fascia	cerotto adesivo
ufficio	cerimonia
architetto	dotto
medico	laureato
macarena	composizione musicale
bracciata	nuoto
nintendo	compagnia
infatuazione	sentimento
diverbio	contrasto
storia	traccia
indennizzo	sborso
torrone	torta
demenza	encefalopatia
comma	segmento
localizzazione	campo vettoriale
scissione	processo naturale
mark kozelek	artista
coraggio	tratto distintivo
rampollo	persona
cappello	copricapo
la torre nera	romanzo
collegeville	borgo
arthur brown	suonatore
charles péguy	persona
asso	personaggio immaginario
redazione	sede
stadio di baseball	edificio pubblico
ferula	arnese
forte	edificazione
velocista	corridore
biosistema	comunità
circolo vizioso	racconto
leopardo	animale
festa	giorno
misura	norma tecnica
nomignolo	denominazione
torrone	miscela
gioia	gaiezza
eduard buchner	docente
riccardo bauer	dotto
bocca	tecnologia
canale	solco
sabbia	pellicola
arco	tecnologia
provinciale	strada
epoca	tempo
zona disastrata	località
mercoledì	periodo di tempo
harold pinter	sceneggiatore
pantofola	flip-flop
mistero	perplessità
videogioco	balocco
metà	frazione
bbc	trasmissione
masnadiero	criminale
epoca	ritmo
stralcio	liquidazione
campione	combattente
esecuzione	pena
amore	album studio
tonalità	grado
huntington	comune
jacques dubois	anatomista
battaglia	litigio
estensione	taglia
isole eolie	arcipelago
portuale	dipendente
lunedì	giorno feriale
accomodamento	progresso
pall mall	strada maestra
york	amministrazione cittadina
riunione	isola
boz scaggs	opera musicale
vittorio saltini	intellettuale
mezzo sangue	sanguemisto
sergente	difensore
trattato	accomodamento
romano prodi	capo del governo
mike myers	commediante
bologna	città
diaframma	organo
gianluigi buffon	calciatore
triangolo	curva
dimostrazione	prova
juventus	azienda
gruppo	banda
mordecai richler	scrittore
percorso	cammino
boz scaggs	scrittore
capitano	marittimo
improperio	vessazione
società	comunità
jefferson	comune
rappresentazione	spasso
accensione	automatismo
dottorando	universitario
masnadiero	cattivo
roulotte	rimorchio
cardamomo	pianta da fiore
ralph waldo emerson	autore
dispositivo di sicurezza	dispositivo
carlo pisacane	autore
samurai	classe sociale
sistemazione	accomodamento
scudisciata	legnata
principe	persona
discovery channel	mass media
tim burton	regista
tragedia	avversità
lombardia	regione
dittatore	oppressore
vapore	fenomeno naturale
ventata	fenomeno fisico
happy hour	opera musicale
burino	persona
dolce	soave
nucleo	centro
idrovolante	macchina
spalla	collaboratore
pleura	membrana
radio	elemento chimico
huntington	capitale
sabbia	cinema
franklin pierce	statista
mobilità	mutabilità
conferenza	assemblea
muso	volto
tempo	fenomeno naturale
york	centro amministrativo
mezzo sangue	persona
campidoglio	zona
cambiamento	fenomeno
accensione	meccanismo
louis-philippe dalembert	verseggiatore
john maeda	accademico
improperio	abuso
pace	contratto
diadema	oggetto celeste
vento	fenomeno
orietta berti	cantante
gigi proietti	doppiatore
scheda	comunicazione scritta
rappresentazione	presentazione
equazione differenziale	formula matematica
vulcano	corpo celeste
porticciolo turistico	porto
zaffiro	roccia
francesco	film
ritardo	incapacità
attaccamento	vicinanza
porta parallela	apparecchio elettrico
demostene	militare
attacco	operazione
settembre	periodo di tempo
francia	regione
campidoglio	beni culturali
tempo	fenomeno
tim burton	sceneggiatore
eldorado	località
tim burton	disegnatore
diadema	gioiello
dottorando	titolo
paste	prosa
harriet beecher stowe	autore
ford escort	veicolo a motore
monaco	grande città
colle	poggio
reattore	motore rotativo
segno	gestualità
bevanda	liquido
conferenza	presentazione
edipo	personaggio
antonio palomba	persona
persona di servizio	lavorante
manutenzione	aggiustatura
trasportatore	cinghia
memoriale	punto di riferimento
olio	liquido
daisy bates	attore
marchingegno	macchinario
aquilotto	aquila
trevi	municipalità
visconti	tribù
federico mompou	musico
jamie kennedy	artista
imperialismo	politica
improperio	messaggio
turismo responsabile	viaggio
mario bianchi	sportivo
arthur brown	persona
memorie	cronistoria
asso	raffigurazione
tabella	matrice
videogioco	applicazione software
david klein	intellettuale
compartecipazione	risorsa
enrico maggi	persona
orwell	rivo
signorina	figlia
ritornello	opera musicale
leone	carnivoro
pranzo	pasto
semaforo	macchina
fallo	violazione
idrovolante	mezzo di trasporto
lastra	blocco
john donne	cantore
fronte	confine
rosta	comunità
marsilio	personaggio
cervice	estremità
visconti	regnante
tempo	istante
sesso	piacere
monaco	capitale
capitano	personaggio immaginario
york	municipalità
kijev	capitale
mayumi iizuka	istrione
aquilotto	volatile
massa martana	comune
multiplayer	software applicativo
deragliamento	sfortuna
giordania	regione
attacco	scontro
cernita	comune
febbraio	mese civile
turbine	tempesta
tonalità	notazione musicale
ciclone	calamità
fondo	sportivo
accensione	reazione chimica
antonio berardi	stilista
ciambellano	persona
duplicazione	traduzione
neil young	compositore di canzoni
gatto	animale domestico
memoria	documento
destra	organizzazione politica
gola	immoralità
mi	grafema
critica	messaggio
noam chomsky	scrittore
vasto	comune
trattato	conciliazione
portuale	lavoratore dipendente
accertamento	controllo
deragliamento	traversia
diaframma	controllo delle nascite
memoriale	evidenza
san donato	stazione
blair	autore
rotativa	stampatrice
principe	aristocratico
jacques chirac	ministro
vetta	fase
strategia	paradigma di programmazione
diaframma	tessuto animale
effetto	girata
perdita	malinconia
orietta berti	persona
andrea ghetti	persona
asso	fiume
portuale	persona
carico	cruccio
destra	fazione
orso	animale selvatico
georges brassens	cantore
critica	ragionamento
federico mompou	autore
demenza	malattia mentale
gola	tubazione
certificato	possesso
luca desiato	persona
cv	curriculum vitae
strada	struttura architettonica
scout	velivolo militare
ripiano	strato
villaputzu	comunità
sinistra	fazione
olive thomas	modella
muso	gestualità
eldorado	composizione musicale
georges brassens	artista
forte	possesso
stalin	leader
foschia	fenomeno fisico
arco	arma
conferenziere	speaker
busta paga	documento
crescita	evoluzione
elio germano	istrione
biosistema	habitat
bulbo	lampada
sgorgo	flusso
generale	soldato
tedesco	cittadino
mandato	scadenza
parallelogrammo	quadrilatero
equazione differenziale	espressione
mietitura	periodo di tempo
pocatello	capitale
serbo	idioma
giacca	vestito
formicaio	nugolo
effetto	sintomo
esecuzione	presentazione
tonalità	norma tecnica
nintendo	multinazionale
tim burton	scrittore
idea	intuizione
canale	struttura architettonica
york	opera musicale
scout	dispositivo
pocatello	centro
cervice	orifizio
moresco	municipalità
monaco	stato federato
mandato	limite di tempo
università	edificio
svastica	raffigurazione
show business	raccolta musicale
gola	cavità
indennizzo	miglioramento
prussiano	europeo
audace	cacciatorpediniere
segnale	gestualità
menta	personaggio
mulinello	bufera
nomignolo	nome di battesimo
rana toro	vertebrato
costituzione	cominciamento
gola	vizio
tram	automatismo
lista	selezione
trasportatore	macchina
autoveicolo	veicolo a motore
damigella	signora
nokia 3220	carico
vitamina c	additivo alimentare
topo muschiato	specie autoctona
cervice	parte del corpo
parco	zona
piombo	peso
consegna	punizione
storia	trasmissione
festa	gala
signorina	femmina
sergente	armato
videogioco	app
campione	sottoinsieme
sindaco	governante
goccia	ellissoide
lontra	mammifero
campagna	terreno
appuntamento	convegno
museo barracco	edificio
eruzione vulcanica	avversità
rai	ditta
scarlatto	pigmento
tesoro	guadagno
intonaco	composto chimico
residenza	comune
destra	tradizionalista
chiusura	cinema
mistero	segreto
econometrica	trasmissione
yellow	raccolta musicale
potassio	elemento chimico
carne equina	tessuto muscolare
introduzione	partenza
zaffiro	gemma
downing street	strada maestra
arrivo	meta
peculiarità	caratteristica
trevi	città
supporter	sostenitore
david klein	istruttore
tesi	trattato
copertura	nascondimento
sassone	etnia
piccione	volatile
gettone	cerchio
toga	comune
evangelizzazione	arringa
santo	distretto
palla	organo riproduttivo
camera	spazio
vulcano	pianeta
scoperta	identificazione
effetto	aspetto
adeguamento	adattamento
dominio	controllo
visconti	casa reale
happy hour	canzonetta
francesco	spettacolo
tabella	struttura dati
confisca	appropriazione
file	registro
nonno	famigliare
proprietà	controllo
erosione della costa	erosione idrica
governatore	capo
arco	dispositivo
taoismo	credenza
croce gammata	rappresentazione
punto mediano	grafema
basso latino	lingua latina
sergente	soldato
cavallo di troia	pacchetto
passaggio	passo
barra	suddivisione amministrativa
protoattinio	composto
econometrica	mass media
giovanni	nome di battesimo
attacco	operazione militare
marrano	fedele
john donne	verseggiatore
richard rorty	intellettuale
contanti	moneta
fioretto	durlindana
toga	mantella
capitano	incarico
parte civile	litigante
orvieto	comune italiano
gigi proietti	persona
cursore	dispositivo
dottorando	studente
grande depressione	crisi
attacco	disapprovazione
boz scaggs	autore
fascia	medicazione
trevi	comunità
taoismo	dottrina
referendum	voto
vittorio saltini	critico letterario
memorie	resoconto
pompiere	professione
estensione	affisso
ritmo	ciclicità
segno	indizio
segnale	intonazione
impasto	composto
nonno	capostipite
mi	notazione musicale
harold pinter	regista
eduard buchner	scienziato
ford escort	trasporto passeggeri
lista	linguaggio di programmazione
dolce	gentile
stazione ferroviaria	stazione
downing street	struttura architettonica
capitano	guerriero
epigono	successore
generale	titolo
playgirl	mass media
bananiera	natante
franklin d. roosevelt	governante
il cairo	metropoli
diaframma	membrana
paziente	mal capitato
ridondanza	duplicazione
oceano artico	oceano
vulcano	divinità
sciopero	marcia
antonio palomba	musico
percorso	tragitto
battaglione	esercito
cardiff	metropoli
mandarino	cibo
leri cavour	frazione
effetto	sentimento
cappello	sporgenza
alma	gioco da tavolo
tenerife	isola
paste	fiction
comportamentismo	psicologia sperimentale
john maeda	persona
accensione	processo chimico
jefferson	città
stazione ferroviaria	struttura architettonica
prussiano	cittadino
jamie kennedy	attore
terzo	numero ordinale
puntina	ago
lontra	vertebrato
novità	nuova
autoveicolo	automatismo
valdarno	vallata
museo barracco	museo
memoria	canale di trasmissione
rosone	vegetale
mongolia	comunità
ululato	rumore
valore	pregio
casting	scrematura
discontinuità	fine
sterlina britannica	denaro
grana	formaggio
cardamomo	vita vegetale
serata	momento
fame	brama
burro	manifestazione
slackware	scrittura
banca	deposito
santo	fiume
orvieto	paese
stalker	intruso
secondo	assistente
gatto	animale
scarlatto	tintura
fioretto	ferro
aquilotto	oviparo
colli tortonesi cortese	alcoolico
referendum	votazione
canale	condotto
idrossido di alluminio	composto
discorso diretto	discorso
francesco zambon	autore
accomodamento	riparazione
costa	costola
leader	responsabile
rappresentazione	canale
neil young	autore
fusoliera	châssis
gran via	strada principale
idrovolante	areoplano
ciclone	massacro
opuscoletto	testo
spintone	colpo
delega	carta
dittatore	sopraffattore
tettonica a zolle	testo
malaysia	paese
nazismo	socialismo
cabaret	show
turbine	tormenta
prova	punto di riferimento
colle	collina
neil young	artista
nulla	categoria grammaticale
organo	aerofono
casella postale	cassetta delle lettere
marmo	calcare
maratti	poetessa
ricerca	indagine
medical center	trasmissione
tormentone	male
colle	panorama
mandarino	lingua
sterlina britannica	valuta
assemblea	riunione
sigillo	frazione
demenza	cretineria
giacca	abito
riflessione	fenomeno fisico
slackware	programma informatico
marrano	affiliato
equazione differenziale	calcolo
gabinetto	sistema sociale
paste	racconto breve
investimento	finanziamento
woody allen	autore
capitanato	incarico
intermezzo	film
il cairo	città
comando	controllo
micene	sito archeologico
campidoglio	edificio pubblico
noam chomsky	autore
il padre	dramma
capitano	capintesta
torma	reggimento
autorete	goal
rosta	paese
carrozza postale	vagone
ralph waldo emerson	poeta
rifiuto	scarto
moldavia	nazione
cerca	inseguimento
muso	comunicazione non verbale
aprile	periodo
italia	stato sociale
scalpello	arnese
gran via	strada
john vincent	leader
antonio palomba	autore
sigillo	comune italiano
video	telecomunicazione
idea	intendimento
bestia	balordo
voce	pettegolezzo
intreccio	annodamento
finlandese	lingua
ferula	bacchetta
infiltrazione	meccanica dei fluidi
umanità	cinema
macarena	trasmissione
famiglia	casata
witold gombrowicz	scrittore
titolo	carica
conferenza	orazione
chiusura	spettacolo
turbine	fenomeno fisico
orietta berti	istrione
infiltrazione	operazione
tribunale	assemblea
rai	frazione
georges brassens	autore
convenzione	contratto
scout	macchina
vasto	città
erosione della costa	rodimento
cambiamento	trasformazione
tavolo	arredamento
chiesa	comunità
accensione	processo naturale
scrittore	dotto
provinciale	superstrada
shantel	persona
franklin pierce	presidente della repubblica
assassino	omicida
felice baciocchi	principale
camera	assemblea
artù	re
ritardo	ritmo
boz scaggs	suonatore
john vincent	musicista
studente	fanciullo
marrano	seguace
edipo	capo di stato
oriente cristiano	culto
idrica	comunità
nintendo	azienda
scissione	riproduzione
mal tempo	fenomeno
autarchia	autonomia
canalizzazione	conduzione
causale	giustificazione
disco rigido	dispositivo
turbine	fenomeno naturale
ralf schumacher	concorrente
capitano	principale
sterlina britannica	unità monetaria
reato	torto
piombo	proiettile
caldo	temperatura
sussistenza	risorsa
mandato	amministrazione
cardiff	comune
arco	periodo
rivalità	film drammatico
artù	trasmissione televisiva
sovvertimento	cessazione
samurai	élite
sabbia	film
spilla	gioiello
fusione	fenomeno fisico
nokia 3220	portatile
palma soriano	comune
francesco	nome di battesimo
videogioco	dispositivo
ellepi	registrazione
joystick	meccanismo
allevamento	struttura architettonica
torma	riunione
ciclone	dramma
sylvano bussotti	strumentista
jamie kennedy	istrione
eruzione vulcanica	pericolo
arthur rimbaud	rimatore
barra	quartiere
arcata	ossatura
tito	imperatore romano
giordania	comunità
georges brassens	verseggiatore
tonalità	calibratura
allevamento	edificio
ordine	setta
arco	ossatura
spalla	assistente
corriere	autotrasportatore
giraffa	corpo celeste
signorina	allocuzione
gennaio	periodo di tempo
victoria abril	persona
radio	lega
cineasta	regista
roulotte	trasporto
fioretto	fiore
spartitraffico	linea
lavamano	arredamento
nokia 3220	computer
atterramento	chiusura
acceleratore	microcircuito
colli tortonesi cortese	vino
barbarie	empietà
campione	corridore
pupi avati	autore
articolo	comunicazione scritta
nomina	decisione
gioia	gioiello
fuga	evasione
pompiere	persona
infiltrazione	diffusione
giorgio	nominativo
decisione	verdetto
mayumi iizuka	artista
caduta	disavventura
nokia 3220	cellulare
eccellenza	perfezione
spartitraffico	barriera
franklin d. roosevelt	persona
divo del cinema	star
lavoro	fenomeno fisico
eruzione vulcanica	calamità
giorgio chiellini	giocatore di calcio
bulbo	sorgente luminosa
surrealismo	corrente
lista	opzione
sussistenza	mantenimento
georges brassens	rimatore
moldavia	paese
residenza	municipalità
nazismo	fascismo
fase	funzione matematica
allevamento	posto di lavoro
memoria	rappresentazione
rovescio	meteo
jefferson	municipalità
governatore	principale
incapace	incompetente
christian vieri	sportivo
dottore di ricerca	ricercatore
recrudescenza	scoppio
nomignolo	antroponimo
occupazione militare	aggressione
tavolo	apparecchiamento
foschia	offuscamento
pantera	carnivoro
diadema	cerchietto
mungo park	esploratore
critica	biasimo
umanità	spettacolo
introduzione	indice
sciopero	manifestazione
cardamomo	pianta
polvere	film
dimostrazione	ragionamento
svastica	disegno
bulbo	parte del corpo
campo	appezzamento
trevi	comune italiano
ermeneutica	teologia
letterato	umanista
video	schermo
covo	rifugio
titolo	metadato
moldavia	principato
sincretismo	unione
elefante	erbivoro
bocca	orifizio
fortino	difesa
dott.	dottore
john cromwell	artista
fantino	cavalcatore
graal	mistero
compito a casa	compito
franklin pierce	titolare
il cairo	grande città
introduzione	comunicazione scritta
taffetà	stoffa
logica	filosofia
sigillo	comune
francesco	rassegna
cursore	indicatore
copertura	occultamento
mike myers	scrittore
uniformità	unanimità
fusoliera	muso
scuola di danza	edificio
proteolisi	degradazione
rosone	finestra
festa	celebrazione
laura brown	persona
rinvenimento	ritrovamento
ululato	lamento
popolamento	colonizzazione
pleura	parte anatomica
pupi avati	produttore cinematografico
sterzata	virata
capitano	navigatore
rampollo	parente
daniele capezzone	capo
autoveicolo	trasporto
dittatore	soverchiatore
triade	notazione musicale
gruppo	famiglia
samurai	combattimento
paziente	diligente
operetta	drammaturgia
ragazza	giovane
contante	danaro
budda	pedagogista
valore	patrimonio netto
certificato	scrittura
paste	racconto
capitanato	carica
formicaio	collinetta
roulotte	veicolo
paziente	meticoloso
trave	elemento architettonico
sardegna	provincia
serbo	slavo
semaforo	segnale
john vincent	principale
masnadiero	malvivente
svastica	emblema
nokia 3220	canale
bestia	assalitore
porticciolo turistico	darsena
arthur brown	orchestrale
dott.	allocuzione
blair	metropoli
torrone	pasta
secondo	piatto
caglio	cacio
governatore	dirigente
otturazione	chiusura
mungo park	scopritore
festa	occasione
francesco zambon	dotto
yellow	mass media
rovescio	fenomeno fisico
medaglione	pendaglio
perdita	possesso
conforto	sostegno
orietta berti	celebrità
scandalo	film drammatico
chiave	spiegazione
roberto baggio	persona
visconti	re
happy hour	pellicola
arese	borgo
dolce	gradevole
fonte	risorsa
formicaio	mucchio
microsoft	azienda privata
lavamano	mobile
memoriale	opera letteraria
area	banda
polvere	racconto breve
intonaco	materiale da costruzione
biblioteca	edificio pubblico
eugène sue	autore
greggio	combustibile fossile
yellow	traccia
ministro delle finanze	dirigente
salinità	percezione
nomignolo	nominativo
transcodifica	codifica
rappresentazione	demo
compito	servizio
ostruzionismo	movimento
yellow	opera musicale
tacchino	animale
occupazione militare	violenza
endometrite	problema di salute
fronte	davanti
protagonista	personaggio
eruzione vulcanica	fatalità
jefferson	regione
idrolisi	reazione chimica
micene	città
dolce	piatto
scandalo	dramma
tito	borgo
rana toro	animale
fallo	colpo
azzurro chiaro	blu
ministero delle finanze	ministero
arco	diacritico
tito	governante
autoveicolo	macchina
john vincent	capo
gran via	strada di città
mandato	tempo
lunedì	periodo
gran via	via maestra
rai	municipalità
arese	comune italiano
carico	fastidio
ciclone	tragedia
ballo studentesco	party
cardiologo	dottore in medicina
nulla	pronome
orvieto	alcool
sciocchezza	tratto distintivo
tedesco	lingua
capitano	grado
palla	ellissoide
paratia	sostegno
spalla	aiutante
provinciale	paesano
conca	paese
scout	aereo
erosione della costa	fenomeno naturale
infiltrazione	operazione militare
classe	associazione
harold pinter	scrittore
lista	scrittura
olive thomas	persona
peculiarità	particolarità
contanti	banconota
john donne	giurista
discovery channel	canale
video	comunicazione visiva
stazione ferroviaria	installazione
nota	lettera
sgorgo	fenomeno fisico
contusione	male
rinnovo	continuamento
lorenzo minotti	atleta
woody allen	regista
canottaggio	sport olimpico
intestino	organo
elettrodotto	tubatura
ciambellano	curato
conforto	assistenza
ministero delle finanze	autorità
scissione	separazione
don gibson	artista
idrovolante	veicolo
turbine	bufera
gigi proietti	cantante
manutenzione	aggiustamento
deragliamento	incidente
professione	carriera
indennizzo	ricompensa
allevamento	coltura
funicolo ombelicale	condotto
diadema	stella
sanità	integrità
cavallo di troia	sistema software
neil young	compositore
scuola di danza	struttura architettonica
torrone	composto
franklin d. roosevelt	politico
ballo studentesco	festa
robert m. bowman	aeronautica
centro	punto
cursore	raffigurazione
confisca	acquisizione
conglomerato	selciatura
emilia	nave
mongolia	quartiere
elettrodotto	linea
ciclone	pericolo
piccione	animale
verde	persona
bananiera	cargo
sipario	copertura
nazismo	economia pianificata
sciocchezza	nonsenso
alster	acqua
legge	generalizzazione
giraffa	configurazione
bosnia-erzegovina	regione
marmo	composto
cristiano ronaldo	calciatore
università della calabria	università
chiave	codifica
arco	strumento musicale
equazione differenziale	operazione
evangelizzazione	orazione
zaffiro	composto
protoattinio	soluzione
scambista	manovratore
bocca	seno
candidato	disoccupato
rotativa	torchio
americano	etnia
eccellenza	titolo
misura	grandezza
patatine fritte	trasmissione
pasticcino	genere alimentare
lupetto	figliuolo
visconti	patrizio
alligatore	oviparo
congelamento	disturbo
manomorta	località
david klein	insegnante
fioretto	arma
diaframma	dispositivo
confisca	diritto processuale
isole eolie	gruppo di isole
università	edificio pubblico
congelamento	raffreddamento
sandwich	comune
enrico berlinguer	politico
ralf schumacher	competitore
alleanza	patto
conca	comune
intreccio	avviluppamento
formicaio	frotta
avo	predecessore
slackware	programma per computer
memorandum	album studio
proteolisi	processo chimico
pasticcino	cibarie
enrico montanari	studioso
fonte	sorgente
toga	indumento
verde	colore primario
grana	denaro
sigillo	borgo
monografia	canale
barra	città
momento	grandezza
deragliamento	sventura
formicaio	montagna
lunedì	periodo di tempo
visita	assemblea
yellow	canzonetta
indennizzo	correzione
oriente cristiano	organizzazione non governativa
congettura	teoria
jim thorpe	antagonista
visconti	capintesta
carta di credito	impegno
indennizzo	pagamento
mordecai richler	sceneggiatore
indri	borgo
marvin olasky	curatore
medaglione	gingillo
scuola privata	edificio pubblico
indennizzo	versamento
barilla	azienda privata
fosfolipide	lipidi
mike myers	sceneggiatore
john maeda	designer
polvere	discografico
comando	automatismo
rifiuto	criminale
ralf schumacher	avversario
rania di giordania	persona
fosfolipide	lipide
segnale	tono
nucleo	punto medio
antonio palomba	musicista
silvio micali	istruttore
demenza	turba
visconti	guru
comportamentismo	disciplina
genetista	mestiere
macarena	canale di trasmissione
divo del cinema	attore
vetta	stadio
tacchino	bipede
contusione	lesione
nonno	genitore
gatto	vertebrato
giorno delle elezioni	giorno
asso	appezzato
burro	film
società	compagnia
guardaboschi	difensore
barra	paese
funicolo ombelicale	canale
operetta	genere musicale
esecuzione	programma di computer
tavolo	mobilio
boz scaggs	sonatore
indecisione	perplessità
ralph waldo emerson	studioso
polvere	album
nokia 3220	pc
cellulare	telefono
asso	lungometraggio
eccellenza	maggiorente
insetticida	disinfestante
rosta	distretto
sussistenza	sostentamento
greggio	oro nero
rotativa	dispositivo
fuga	composizione musicale
bocca	idrovia
lontra	carnivoro
scrittore	persona
marmo	roccia sedimentaria
equazione differenziale	computo
gabinetto	corporazione
artù	sovrano
storico	intellettuale
pleura	parte del corpo
profitto	lucro
gennaio	mese
faccia	comunicazione non verbale
punto mediano	sistema di scrittura
battaglia	argomentazione
cursore	strumento di misura
bambino	progenie
latinoamericano	latino
fondo	competizione
sistemazione	disposizione
salinità	sensibilità
moro	paese
san donato	edificio
adone	personaggio
disastro	incidente
dimostrazione	argomentazione
impronta	punto di riferimento
pall mall	via maestra
romano prodi	persona
muso	mimica
scrittore	alfabeta
il risveglio	lungometraggio
conferenziere	parlante
gola	tubatura
ford escort	autovettura
stanza	strofa
monte bondone	regione
bracciata	sport
daniele capezzone	responsabile
tito	re
lorenzo celsi	direttore
comma	retta
muro	impaccio
slackware	sistema software
parlamento	riunione
eugène sue	intellettuale
svastica	insegna
effetto	rotazione
mediante	notazione musicale
canale	mass media
provinciale	autostrada
organo	strumento musicale
budda	giornalino
asso	borgo
signorina	bambina
profitto	merito
palla	antipatico
rotativa	pressa tipografica
motorino	motoveicolo
neil young	sportivo
ranch	podere
tram	sistema di trasporto
terna	veicolo
delega	mandato
parco	appezzamento
creta	calcare
duplicazione	riproduzione
roulotte	trasporto passeggeri
cimiero	copricapo
trave	sopporto
conca	rivo
sciocchezza	stupidaggine
pezzo	composizione musicale
paratia	restrizione
insalata di cavolo	cibo
esecuzione	giustizia
grande depressione	periodo di tempo
leader	amministratore
sole	stella
ermeneutica	disciplina
negatore	oppositore
atterramento	caduta
endometrite	disturbo
mi	lettera
ettaro	grandezza
perdita	mestizia
parco	possesso
james watson	militare
padre nostro	preghiera
zora la vampira	film
jacques chirac	leader
ralph waldo emerson	letterato
rappresentazione	esperienza
video	dispositivo
mistero	confusione
tenerife	comunità
videogioco	programma per computer
congelamento	processo fisico
classe	forbitezza
mobilità	variabilità
franklin d. roosevelt	statista
rifiuto	mal capitato
nastro	reggetta
costa	contorno
paolo veronese	persona
jim thorpe	sportivo
popolamento	crescita
franklin pierce	funzionario
parco	area protetta
occupazione militare	battaglia
fioretto	arma bianca
scala	elemento architettonico
reato	malcostume
fosfolipide	grasso
lancia	arma bianca
tabella	array
samurai	personaggio
critica	facoltà
dibattito	discorso
porticciolo turistico	infrastruttura
comando	scrittura
tesi	scrittura
utile	rendita
mayumi iizuka	attrice
stalin	posseditore
enrico montanari	dotto
cardiologo	dottore
deragliamento	disgrazia
tesoro	fondo
intonaco	mescolanza
motorino	motocicletta
stalin	dittatore
duplicazione	raddoppiamento
lupetto	bambino
fusoliera	carrozzeria
scheda	circuito elettronico
kit di attrezzi	scatola
canale	stazione televisiva
intruso	persona
assassino	reo
cerca	perseguimento
campidoglio	colle
slot machine	macchina
puntina	bulletta
parlamento	corpo legislativo
rappresentazione	svago
caduta	scivolata
arco	finestra temporale
maltosio	molecola
brits	municipalità
happy hour	traccia
campidoglio	monumento storico
comportamentismo	scienza
barbarie	atrocità
vento	fenomeno fisico
campione	soldato
estratto	passo
bocca	ingegneria
sterlina britannica	moneta circolante
memoriale	narrazione
david klein	docente universitario
serbo	cittadino
artù	personaggio
operatore	fotografo
operatore	funzione matematica
braccio destro	aiutante
grande depressione	crollo
conglomerato	composto chimico
pompiere	lavorante
indri	quartiere
infiltrazione	filtraggio
ministro delle finanze	responsabile
ezra pound	autore
polemica	contestazione
nota	resoconto scritto
autarchia	indipendenza
fienagione	taglio
tom stoppard	autore
marisa	invertebrato
congelamento	transizione di fase
file	distretto
nomina	scrematura
mandato	documento
pantofola	copertura
nomina	opzione
rappresentanza	delegazione
magellano	esploratore
scuola di danza	scuola
trasportatore	meccanismo
louis-philippe dalembert	intellettuale
san donato	struttura architettonica
croce gammata	allegoria
paziente	malato
effetto	credibilità
prussiano	lingua
aquilotto	uccello da preda
pantofola	indumento
bananiera	trasporto
vulcano	oggetto celeste
signorina	titolo
vasto	paese
cigno femmina	cygnus
coniglio selvatico	autoctono
jacques chirac	presidente
fronte	faccia
roberto baggio	celebrità
gianluigi buffon	sportivo
compasso	configurazione
ellepi	disco
sloop	nave
avviso	avvertenza
ministro delle finanze	capo
demostene	scrittore
storia	singolo
capitano	armato
impasto	misto
felice baciocchi	direttore
cristiano ronaldo	giocatore di calcio
gruppo locale	oggetto celeste
fortino	roccaforte
ridistribuzione	distribuzione
nonno	parente
bbc	canale
olive thomas	celebrità
video	apparecchio elettrico
william walton	artista
banconota	documento
nastro	addobbo
visconti	prosapia
demostene	leader
produttore cinematografico	impresario
distributore automatico	macchina
infiltrazione	attacco
laura brown	golfista
coppia	ennupla
cancello	sbarramento
bienvenida	comunità
palma soriano	città
poiana	uccello
zona disastrata	zona
compartecipazione	unione
damigella	ragazza
pocatello	località
università	struttura architettonica
cuspide	sommità
zora la vampira	fumetto
conferenziere	relatore
christian vieri	persona
congelamento	danno
parlato	sonoro
isterectomia	operazione chirurgica
tram	trasporto
secondo	periodo
lista	scrematura
americano	idioma
massa martana	comune italiano
conferenziere	presentatore
faccia	sembianza
rana toro	amphibia
fraternità	comunità
carico	imballaggio
università della calabria	ateneo
triade	nota musicale
diadema	prezioso
michele da cesena	francescano
marmo	roccia
john maeda	celebrità
rai	emittente televisiva
john vincent	autore
enrico montanari	intellettuale
sloop	imbarcazione
pall mall	struttura architettonica
monaco	font
circolo vizioso	opera letteraria
pasticcino	impasto
harriet beecher stowe	persona
john donne	giurisperito
reato	attività illegale
dublin	township
foschia	fenomeno naturale
servosterzo	macchina
storia	composizione
daisy bates	scrittore
tedesco	idioma
rimpatrio	ritorno
playgirl	trasmissione
adeguamento	progresso
autoveicolo	motore
zaffiro	ossido di alluminio
memorie	annali
boz scaggs	orchestrale
deragliamento	vicissitudine
israele	casato
tackle	giocata
valore	coraggio
formicaio	stuolo
cristiano ronaldo	celebrità
contusione	danno
uragano	film catastrofico
tormentone	angustia
battaglia	discussione
dottore di ricerca	studioso
sudanese	africano
visconti	famiglia nobile
nazione	comunità
pasticcino	cibo
smeraldo	minerale
ortaggio	cibo
visconti	azienda
